ID,Mental Health Msures,Sleep/fatigue,Aggression/conflict/irritation,Anxiety/OCD/Fear,Depression,Loneliness,Substance abuse,Psychotic Disorders,Worry/Stress/Trauma/Distress/Burnout/PTSD/Concern,Coping/Resilience/Self-esteem,Wellbeing/mental health/emotional issues/mood and feeling,"Behavioural symptoms (e.g., impulsive actions)",Grief related trauma,Technology addiction,Eating Disorder/body dysmorphia/physical activity,Suicidal Ideation/attempt/self-harm,Other (e.g. Dissociative syptoms)
242,Attendance in ED for suicide attempt or ideation,,,,,,,,,,,,,,,BP,
324,Records of suicide attempt by toxic poisoning,,,,,,,,,,,,,,,BP,
28,"Behaviour Risk Factor Surveillance System (delays in accessing services for mental health or addiction); Centre for Epidemiological Studies Depression Scale; suicidal ideation, mental health diagnosis (15 options); frequency of substance abuse.",,,,CESD,,II,,,,,,,,,CESD,
229,"Composite International Diagnostic Interview Screening Scales; Alcohol Use Disorders identification Test, Self-Injurious Thoughts and Behaviors Interview, Columbi-Sucidie Severity Rating Scale",,,,,,CIDI-SSS,,,,,,,,,CIDI-SS; CSSR-RS,
267,"Insomnia Severity Index, DASS-21, GHQ-12, Obsessive-Compulsive Inventory-Revised version, Suicidal Ideation Attributes Scale, Severity-of-Acute-Stress-Symptoms-Adult scale, Impact of Event Scale-short version, Connor-Davidson resilience scale, brief-COPE, Post-Trumatic Growth inventory, Multidimensional Scale of Perceived Social Support, Maslach Burnout Inventory",ISI,,OCI,DASS-21,,,,IES-SF; SASS-AS; PTGI; MBIHSS,CDRS; BCI,,,,,,IAS,
97,"PHQ-9, GAD-7, items about frequency of substance abuse, self-injury and suicidal ideation. ",,,GAD-7,PHQ-9,,II,,,,,,,,,II,
155,"Items about '11 crisis concerns' (e.g., depression, anxiety/stress, suicidal thoughts, isolation, abuse, bereavement, relationships, suicidal ideation",,,II,II,,,,II,,,,,,,II,
188,"Have you ever had suicidal ideation during COVID-19 pandemic lockdown?' item yes/no response. Same for depression, anxiety and emotional emptiness.Only SI was compared by gender.",,,,,,,,,,,,,,,II,
281,"Items asking about behaviour including 'negative coping' including alcohol and drug use, eating more/less, cutting or self harm 6-pt scale. 'Positive coping' including exercise, enough sleep, mental/physical healthcare provider connecting. Summed to 0-6pt scale both.",II,,,,,II,,,II,,,,,II; II,II,
300,Items about diagnosis pre/post pandemic,,,,,,,,,,,,,,,II,
204,"DASS-21, Negative SI subscale of the Positive and Negative Suicide Ideation Scale (PANSI); COVID-19 Family Stress Screener",,,,DASS-21,,,,C-FSS,,,,,,,PANSI,
1,PSQI  ,PSQI,,,,,,,,,,,,,,,
2,Brief Aggression Quesionnaire; Generalised Anxiety Disorder scale version 7; Patient Health Questionnaire (depression),,BAQ,GAD-7,PHQ-4,,,,,,,,,,,,
3,PHQ-4 depression & anxiety aggregated to score out of 12; loneliness items,,,,PHQ-4,II,,,,,,,,,,,
4,PHQ-9 major depression 9-items,,,,PHQ-9,,,,,,,,,,,,
5,"Patient-Reported Outcomes Measurement Information System; depression, anxiety & problem drinking, max score 20, higher worse outcomes",,,PROMIS,PROMIS,,PROMIS,,,,,,,,,,
6,"GHQ-12, psychotic disorders items; Penn State Worry Questionnaire; Coping Inventory for Stressful Situations; additional health worry items",,,,,,,GHQ-12,PSWQ; II,CISS,,,,,,,
7,"Warwick-Edinburgh Mental Well-being Scale, high score = better mental health",,,,,,,,,,WEMWS,,,,,,
8,Depression Anxiety and Stress Scale (Arabic) -21,,,DASS-21,DASS-21,,,,DASS-21,,,,,,,,
9,PHQ-9 (depression); GAD-7 (anxiety); Insomnia Severity Index; Barrat t Impulsivity Scale-11 (higher scores = worse symptoms). ,ISI,,GAD-7,PHQ-9,,,,,,,BIS-11,,,,,
10,Depression Scale CES D8; Center for Epidemiological Studies Depression (CESD),,,,CESD,,,,,,,,,,,,
11,"Connor and Davidson Resilience Scale French version; The Beck Depression Inventory-Fast Screen-France, higher scores worse outcomes",,,,BDI,,,,,CDRS,,,,,,,
12,"Resilience Scale for Adults; The Hospital Anxiety and Depression Scale (anxiety, depression and feeling over two week period prior to assessment)",,,HADS,HADS,,,,,RSA,,,,,,,
13,Work and social adjustment scale (functional impairement due to loss); Pandemic Grief Scale (dysfunctional grief). ,,,,,,,,,,,,WSAS; PGS,,,,
14,COVID Peritraumatic Distress Index (PTSD symptoms); Bergen Instagram Addiction Scale; Internet Addiction Test; Toronto Alexithymia Scale (describing feelings to others). ,,,,,,,,,CPDI,,,,BIAS; IAT,,,
15,"DASS-21 (depression, anxiety, stress)",,,DASS-21,DASS-21,,,,,,,,,,,,
16,SF-36 (mental health); Sleep Quality Numeric Rating Scale; State Trait Anxiety Inventory-6; Acceptance and Action Questionnaire II; Three Items Loneliness Scale; Perceived Stress Scale-4; BDI-II. ,SQNRS,,STAI-6,BDI-2,TILS,,,PSS-4,,SF-36,,,,,,
17,PSS-10 (perceived stress),,,,,,,,PSS-10,,,,,,,,
18,"GHQ-12 (mental health, disorders). Strengths and Difficulties Questionnaire (emotional problems and emotional symptoms sub-dimensions); The Brief Resilience Coping Scale; The Coping Efficiency Scale; Difficulties in Emotional Regulation Scale (emotional dysregulation). ",,,,,,,GHQ-12,,BRCS; CES,SDQ; DERS,,,,,,
19,Mediterreanean Diet Score; GAD-7,,,GAD-7,,,,,,,,,,,,,
20,"PHQ-9 (depression); Perceived Stress Scale, ",,,,PHQ-7,,,,PSS,,,,,,,,
21,"Items from the 'Life during the pandemic' national survey including related to: poor wellbeing, sleeping, deterioration, distress, sadness, diagnosis, treatment and medication. ",II,,,,,,,,,II,,,,,,
22,10-item Body Appreciation Scale (body acceptance and respect),,,,,,,,,,,,,,BAS-10,,
23,"Project HOUSE-Colegia F3 survey; based on items from: Nutrition, Health Behaviour in School Age Children (WHO), Health Literacy. Items related to: sedentry behaviour, sleep quality/quantity, nutrition, substance use, depression, anxiety, worry, online gaming, excessive screen use, family conflicts.  ",II,,II,II,,II,,,II,,,,II,,,
24,"DASS-21 (depression, anxiety, stress); PTSD Related to COVID-19 Questionnaire; The Brief COPE Inventory (problem-focused, emotion-focused, dysfunctional strategies",,,DASS-21,DASS-21,,,,PTSD-C,BCI,,,,,,,
25,"World Health Organisation-Five Well-Being Index-10 (wellbeing, clinically significant depression). ",,,,WHO-10,,,,,,WHO-10,,,,,,
26,"Stanford Acute Stress Reaction Questionnaire (dissociation, hyperarousal, reexperiencing the traumatic event, avoidance of reminders of traumatic events and impact on social functioning); GHQ-28. ",,,,,,,GHQ-28,,,SASRQ,,,,,,
27,"GHQ-28 (somatic symptoms, anxiety & insomnia, social dysfunction, severe depression, suicidal ideation",GHQ-28,,GHQ-28,,,,GHQ-28,,,,,,,,,
29,"Coping items (not from a validated survey), ",,,,,,,,,II,,,,,,,
31,Mental Health Self-reporting Questionnaire-20; Pandemic Coping Questionnaire,,,,,,,,,MHSQ-20,,,,,,,
32,"Household Pulse Survey (US Census) (depression, anxiety GAD-2)",,,GAD-2,GAD-2,,,,,,,,,,,,
33,"Loneliness items, Fear of Negative Evaluation Scale (social anxiety items), Patient Health Questionnaire-9 (depression, excluding suicideality), Patient-Reported Outcomes Measurement Information System Short Form (Anxiety)",,,FNES; PROMIS,PHQ-9,II,,,,,,,,,,,
34,Kaiser Family Foundation Coronavirus Poll mental health items,,,,,,,,,,II,,,,,,
35,GHQ-12,,,,,,,,,,GHQ-12,,,,,,
36,"DASS-21 (depression, anxiety, stress); Impact of Event Scale",,,DASS-21,DASS-21,,,,IES,,,,,,,,
37,"Profile of Mood States- (tension-anxiety, depression, aggression-anger, vigor-activity, tiredness-indolence, confusion (higher numbers worse); Eating Disorder inventory-2; Binge Eating Behaviour",,PMS,PMS,PMS,,,,,,,,,,EDI-2; BEB,,
38,"DASS-21 (depression, anxiety, stress); Impact of Event Scale-Revised (PTSD)",,,DASS-21,DASS-21,,,,IES,,,,,,,,
39,"State Anxiety Inventory, survey items about life disturbance; Pathogen Disgust Sensitivity",,,II; STI-6,,,,,,,,,,,,,
40,"Center of Epidemiologic Studies Depression Scale (short version, depressive symptoms), State Trait Anxiety Inventory 6-item (state anxiety)",,,STAI-6,CESD,,,,,,,,,,,,
41,"Exercise Addiction Inventory, items about supplement/product use during isolation, Appearance Anxiety inventory, Self-Compassion Scale. ",,,,,,,,,,,,,,EAI; AAI,,
42,"DASS-21 (depression, anxiety, stress); Females higher levels of stress (p=.001). Reporting incomplete for other mental health measures. ",,,DASS-21,DASS-21,,,,,,,,,,,,
43,WHOQOL-BREF (quality of life),,,,,,,,,,WHOQOL-BREF,,,,,,
44,Child-Revised Impacts of Events Scale-8 (trauma); Epidemic-Pandemic Impacts Inventory; ,,,,,,,,CR-IES-8; EPII,,,,,,,,
45,GHQ-12 (loneliness) - inverted - lower score reflects poorer wellbeing.,,,,,GHQ-12,,,,,,,,,,,
46,"Positive and Negative Affect Schedule; DASS-21 (depression, anxiety, stress); Impact of Events Scale; Mental Health Inventory-5",,,DASS-21,DASS-21,,,,DASS-21; IES,,PNAS; MHI-5,,,,,,
47,PANAS; Ryff's Psychological Well-Being Scales; Beck Depression Inventory-II; Health Survey SF-36 Questionnaire; ,,,,BDI-2,,,,,,PNAS; RPWBS; SF-36,,,,,,
48,"Centers for Disease Control and Prevention's 'Healthy Days Measures' (quality of life, mental health); items measuring stress; Kessler-6 (psychological distress); UCLA Loneliness Scale, items for alchole consumption, items for fatigue. ",II,,,,UCLA-LS,II,,K-6,,CESD,,,,,,
50,The Social Responsive Scale-2 for ASC diagnosis/inclusion/exclusion criteria for TD group. Connor's Parent Rating Scales-3 (child behavioural problems); NIH Perceived Stress Scale-Child (psychological stress); DASS-21 (parent's psychological distress); SPANE (parent's wellbeing); ,,,,DASS-21,,,,PPS-C,,,,,,,,
51,GAD-7 (anxiety),,,GAD-7,,,,,,,,,,,,,
52,"Work and Family Conflict Scale; PHQ-9, GAD-7",,,GAD-7,PHQ-9,,,,,,,,,,,,
53,Substance use items; GAD-7; PHQ-9; Items about academic persistence,,,GAD-7,PHQ-9,,II,,,,,,,,,,
54,Portuguese State-Trait Inventory,,,PSTI,,,,,,,,,,,,,
55,Satisfaction With Life Scale; Scale of Positive and Negative Experience; Psychological Well-Being Scale; Communication Expectations Form; COVID-19 Healthy Employees Lifestyle Form; Personal Information Form. ,,,,,,,,,,SLS; SPNE; PWBS,,,,,,
56,Hamilton Anxiety Scale; Beck Depression Inventory; Acute Stress Disorder Inventory (DSM-5),,,HAS,BDI,,,,ASDI,,,,,,,,
57,Hamilton Anxiety Scale; BDI; ASD (DSM-5),,,HAS,BDI,,,,ASDI,,,,,,,,
58,HAS; BDI; ASD,,,HAS,BDI,,,,ASDI,,,,,,,,
59,"COVID-19 stress & coping measures; Breif Resilience Scale, Pittsburgh Sleep Quality Index",,,,,,,,,II; BRCS; PSQI,,,,,,,
60,"Items related to fearfulness, anxiety, worry, restlessness and sadness",,,II,,,,,II,,,,,,,,
61,Females higher scores than males for anxiety (p<.01); depression (p<.01). No difference for body image. Males higher self-esteem (p<.01). ,II,,,,II,,,II,,II,,,,,,
62,"Survey items bout domestic violence and emotionl experiences (e.g., resignation, insomnia, loneliness, sadness, exaspertion, fear, insecurity, anxiety, concern, tranquility, ese and pleasure. ",II,,II,,,,,,,II,,,,,,
63,"Weight measures kilos gained/lost, eating habits: general, qualtiy and variety, amount of food, meal times, impact of anxiety on eating habits; physical activity: frequency and number of hours a day; sleeping habits: changes in quality and quantity, average hours. ",II,,II,,,,,,,,,,,II,,
64,"Quality of life, impact on wellbeing",,,,,,,,,,II,,,,,,
65,"PSS-10, I-IES-R, STAI-X3, PSWQ, Civic Moral Disengagement Scale (CMDs)",,,,,,,,PSS-10,,,,,,,,
66,Warwick-Edinburgh Mental Well-being Scale; Kessler Distress Scale (K10),,,,,,,,K-10,,WEMWS,,,,,,
67,"PSQI (sleep), ISI (sleep), STAI (anxiety)",PSQI; ISI,,STAI-6,,,,,,,,,,,,,
68,"DASS-21, IES-Revised, Brief COPE",,,STAI-6,DASS-21,,,,IES,,,,,,,,
69,"Distress Thermometre (DT) German version; German 4 item version of PHQ-4; two-item PHQ-2, two item GAD-2; ",,,GAD-2,"PHQ-2,4",,"PHQ-2,4",,DT,,,,,,,,
70,Polish adapted COPE inventory; short version Psychological General Well-Being Index (PGWBI); ,,,,,,,,,BCI ,PGWBI,,,,,,
71,Dutch Easting Behavior Questionnaire; The Ultra Brief Adjustment Disorder - New Module; DASS-21; ,,,,DASS-21,,,,,,UBAD,,,,DEBQ,,
72,Symptom Checklist-Revised (depressive symptoms and anger); ,,SC-R,,SC-R,,,,,,,,,,,,
73,Measure of food consumption; Emotional Eater Questionnaire; Malay International Physical Activity Questionnaire,,,,,,,,,,,,,,II; EEQ,,
74,Psychological distress,,,,,,,,II,,,,,,,,
75,DASS-21,,,,DASS-21,,,,,,,,,,,,
76,Kessler Psychological Distress Scale (K10),,,,,,,,K-10,,,,,,,,
77,"Wave one: non-validated survey items; wave two: GAD-7, PHQ-8. ",,,GAD-7,PHQ-8,,,,,,,,,,,,
78,"PHQ-2, GAD-2, Chinese version 10-item Connor-Davidson Resilience Scale",,,GAD-2,PHQ-2,,,,,CDR-C,,,,,,,
79,"Perceived Stress Scale, GAD-7, ",,,GAD-7,,,,,PSS,,,,,,,,
80,"Self-rating anxiety scale, self-rating deprssion scale, International physical activity questionnaire",,,II,II,,,,,,,,,,,,
81,"Measures of anxiety, pessimism, fearfulness - non-validated approach for measuring 'response to the epidemic at early stage'",,,II,,,,,,,,,,,,,
82,"Strength and Difficulties Questionnaire Japanse version, emotional symptoms subscale; survey two also included: COVID-19 anxiety measures, social interactions during COVID-19, engagement in activities during COVID-19. ",,,II,,,,,,,SDQ-J,,,,,,
83,Liebowitz social anxiety scale for children and adolescents,,,LSAS,,,,,,,,,,,,,
84,"GAD-7 (anxiety), PHQ-9",,,GAD-7,PHQ-9,,,,,,,,,,,,
85,"Recovery-Stress Questionnaire for Athletes (RESTQ-Sport); specific measures related to athletic behaviour e.g., food intake, training motivation; genearl measrues like seeking psychological support.",,,,,,,,RESQA,,,,,,,,
86,"Pittsburgh Sleep Quality Index, Perceived Stress Scale",PSQI,,,,,,,PSS,,,,,,,,
87,"Yale-Brown Obsessive Compulsive Scale, Brief Sensation Seeking Scale; PHQ-4",,,YBOCS,PHQ-4,,,,,,,,,,,,
88,6-Item Kessler's Psychological Distress Japanese version; COVID-19 related stress & effects itmes; ,,,,,,,,,K-6; II,,,,,,,
89,Epidemic-Pandemic Impacts Inventory; Children's Revised Impacts of Events Scale-8; DASS-21; GAD-7,,,GAD-7,DASS-21,,,,EPII; IES-8,,,,,,,,
90,Items about coping with social distancing & isolation.,,,,,II,,,,,,,,,,,
91,"Fear of COVID-19 Scale; 17-itme Orthorexia Nervosa questionnaire, physical activity frequency & duration. ",,,FCS,,,,,,,,,,,ONQ; II,,
92,"Perceived Stress Scale-10, Brief COPE, Fear of COVID-19 Scale, ",,,FCS,,,,,PSS-10,BCI,,,,,,,
93,GHQ-28; PSS-14; ,,,,GHQ-28,,,,PSS-14,,,,,,,,
94,Coping Orientation to Problems Experienced Scale; Connor-Davidson Resilience Scale; 18-Item Brief Symptom Inventory Hebrew version,,,BSI-18,BSI-18,,,,,COPES; CDR-C,,,,,,,
95,"NEO Five Factor Inventory, WHOQOL-BREF quality of life assessment, both adapted for Greek population",,,,,,,,,,WHOQOL-BREF,,,,,,
96,"Stress Appraisal Questionnaire; Polish Brief COPE Questionnaire, Orientation to Life Questionnaire",,,,,,,,SAQ,P-BCI,,,,,,,
98,"sleeping patterns, hours of physical exercise, perceived health, depressive symptoms, GAD-7",II,,GAD-7,II,,,,,,II,,,,,,
99,Hospital Anxiety and Depression Scale,,,HADS,HADS,,,,,,,,,,,,
100,"Trait Meta-Mood Scale Spanish version, Student Stress Inventory-Stress Manifestations, Cannabis Use: Intention Questionnaire-CUIQ",,,TMMS,,,CUIQ,,SSI,,TMMS,,,,,,
101,"Panic Buying Scale, GHQ-12, PSS-10, ",,,PBS,GHQ-12,,,,PSS-10,,,,,,,,
102,"PTSD Checklist for DSM-5 (PCL-5), Pittsburgh Sleep Quality Index",PSQI,,,,,,,PCL-5,,,,,,,,
103,"PHq-9, GAD-7, Impact of Event Scale-Revised, Insomnia Severity Index",ISI,,GAD-7,PHQ-9,,,,IES,,,,,,,,
104,"Children's Depressive Inventory (CDI02), UCLA loneliness scale, social media, video games and social activity measures. ",,,,CDI,UCLA-LS,,,,,,,,,,,
105,"25 pandemic related stressors, frequency of experience on 1-5 scale e.g., school related, boredom, negative emotions and health",,,,,,,,II,,,,,,,,
106,"GAD-2, PHQ-4, coping items including strategies. ",,,GAD-2,PHQ-4,,,,,II,,,,,,,
107,"ad-hoc survey, Scale of Confinement and Psychological Impact on Children and Adolescents; items about stress in caregivers and coping strategies",,,,,,,,II,II,SCPICA,,,,,,
108,"WLEIS-S, POMS, BRS, SMS-II",POMS,POMS,POMS,POMS,,,,,BRCS,,,,,,,
109,"DASS-21, Parental Stress Scale, Parent-Adolescent Conflict 12 item measures, Revised Child Anxiety and Depression Scale (assesssing parent's perceptions), UCLA Loneliness Scale (parental perceptions)",,PAC-12; RCADS,DASS-21; RCADS,,UCLA-LS,,,PSS,,,,,,,,
110,"PHQ-8, GAD-7, brief PTSD Checklist for DSm-5; used to screen for 'stress-related psychological sequelae (SRPS)'",,,GAD-7,PHQ-8,,,,BPCL-5,,,,,,,,
111,GHQ-28,,,,,,,,,,GHQ-28,,,,,,
112,Posttraumatic Stress Checklist-Civilian Version,,,,,,,,PCL-5,,,,,,,,
113,"Perceived Stress Scale for Children (PSS-C); Stress Mindset Measure-General; Childhood Anxiety Sensitivity Index, State-Trait Anxiety Inventory for Children Subscale; Children's Test Anxiety Scale; Co-Rumination Questionnaire (dwelling on the negative), Beck Depression Inventory-II, PHQ-9A - different measures of similar constructs across the two samples Aus/Canadian",,,CASI; STAI-C; CRQ,BDI-2; PHQ-9,,,,SMM-G,PSS-C,,,,,,,
114,Kessler Psychological Distress Scale (K6),,,,,,,,K-6,,,,,,,,
115,"GHQ-12, Spanish Scale of Positive and Negative Experience, Rosenberg Self-Esteem Scale, Social Support Scale, ",,,,,,,,,,GHQ-12; SPNE-S,,,,,,
116,Stait Trait Anxiety inventory for Adults,,,STAI-A,,,,,,,,,,,,,
117,"Total difficulties, emotional symptoms, hyperactivity/inattention, conduct problems, peer relationship problems, prosocial behaivour",,,,,,,,,,II,II,,,,,
118,"PHQ-9, GAD-7, PTSD Checklist-5, Brief Young Adult Alcohol Consequences Questionnaire, items about regularity and amount of drinking",,,GAD-7,PHQ-9,,BYAACQ,,PCL-5,,,,,,,,
119,Survey items about how the pandemic has impacted mental health,,,,,,,,,,II,,,,,,
120,"Multidimensional Emotion Quesationnaire, Serbian version",,,,,,,,,,MEQ-S,,,,,,
